Number,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious_Critical,Total Cases Per 1m Pop,Deaths Per 1m Pop,Total Tests,Tests Per 1m Pop,Population
86,Latvia,"128,125",+147,"2,269",+3,"117,799",+568,"8,057",71,"68,592","1,215","2,494,618","1,335,505","1,867,921",Europe,15,823,1,79,2,"4,313"
87,Estonia,"127,206",+153,"1,223",+1,"118,772",+94,"7,211",32,"95,837",921,"1,362,651","1,026,622","1,327,315",Europe,10,"1,085",1,115,0.8,"5,433"
88,Algeria,"125,311",,"3,374",,"87,359",,"34,578",28,"2,814",76,"230,861","5,183","44,539,145",Africa,355,"13,201",193,,,776
89,Cuba,"124,454",,804,,"116,660",,"6,990",126,"10,994",71,"3,993,104","352,730","11,320,573",North America,91,"14,080",3,,,617
90,Norway,"119,299",,774,,"88,952",,"29,573",22,"21,857",142,"5,423,294","993,604","5,458,204",Europe,46,"7,052",1,,,"5,418"
91,Thailand,"111,082","+9,635",614,+25,"67,200","+1,397","43,268","1,228","1,588",9,"8,124,896","116,148","69,952,942",Asia,630,"113,930",9,138,0.4,619
92,Kyrgyzstan,"100,732",+259,"1,711",+8,"93,886",+284,"5,135",85,"15,221",259,"1,059,935","160,165","6,617,784",Asia,66,"3,868",6,39,1,776
93,Montenegro,"98,852",,"1,561",,"95,902",,"1,389",60,"157,374","2,485","395,033","628,898","628,135",Europe,6,402,2,,,"2,211"
94,Uzbekistan,"96,893",+223,670,+2,"92,303",+192,"3,920",23,"2,859",20,"1,377,915","40,657","33,891,238",Asia,350,"50,584",25,7,0.06,116
95,Ghana,"93,243",,783,,"91,146",,"1,314",7,"2,947",25,"1,118,523","35,356","31,636,020",Africa,339,"40,404",28,,,42
96,Zambia,"92,436",,"1,260",,"90,816",,360,39,"4,909",67,"1,471,632","78,155","18,829,768",Africa,204,"14,944",13,,,19
97,Finland,"90,249",+144,933,+2,"46,000",,"43,316",27,"16,266",168,"4,766,116","859,032","5,548,239",Europe,61,"5,947",1,26,0.4,"7,807"
98,Cameroon,"74,946",,"1,152",,"70,497",,"3,297",385,"2,764",42,"1,518,411","55,991","27,118,683",Africa,362,"23,541",18,,,122
