Number,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious_Critical,Total Cases Per 1m Pop,Deaths Per 1m Pop,Total Tests,Tests Per 1m Pop,Population
174,Sierra Leone,"6,388",,121,,"4,374","1,893",,782,15,"160,729","19,667","8,172,455",Africa,"1,279","67,541",51,,,232
175,Barbados,"6,248",,54,,"5,366",828,,"21,710",188,"290,232","1,008,450","287,800",North America,46,"5,330",1,,,"2,877"
176,Guinea-Bissau,"6,053",,130,,"5,198",725,4,"2,991",64,"95,698","47,281","2,024,015",Africa,334,"15,569",21,,,358
177,Niger,"5,947",,201,,"5,676",70,,235,8,"150,915","5,975","25,259,377",Africa,"4,247","125,669",167,,,3
178,Liberia,"5,761",,283,,"5,428",50,2,"1,108",54,"128,246","24,659","5,200,839",Africa,903,"18,378",41,,,10
179,Gibraltar,"5,463",,97,,"5,288",78,3,"162,208","2,880","349,781","10,385,730","33,679",Europe,6,347,0,,,"2,316"
180,San Marino,"5,388",,90,,"5,240",58,1,"158,391","2,646","77,225","2,270,188","34,017",Europe,6,378,0,,,"1,705"
181,Chad,"5,021",,174,,"4,831",16,,295,10,"142,919","8,410","16,992,934",Africa,"3,384","97,661",119,,,0.9
182,Brunei,"4,675",,23,,"3,144","1,508",25,"10,564",52,"291,437","658,561","442,536",Asia,95,"19,241",2,,,"3,408"
183,Comoros,"4,104",+3,147,,"3,942",15,,"4,601",165,,,"891,918",Africa,217,"6,067",,3,,17
184,Sint Maarten,"4,053",,59,,"3,811",183,14,"93,252","1,357","41,509","955,042","43,463",North America,11,737,1,,,"4,210"
185,Bermuda,"4,027",,37,,"2,907","1,083",1,"64,952",597,"506,561","8,170,339","62,000",North America,15,"1,676",0,,,"17,468"
186,New Zealand,"4,014",+15,27,,"3,498",489,5,802,5,"3,206,325","640,996","5,002,100",Australia/Oceania,"1,246","185,263",2,3,,98
